"","year","state","gender","statistic","gross_income_euros"
"72",2016,"nationwide","female","10th_percentile",6808.88
"73",2015,"nationwide","female","10th_percentile",6630.92
"74",2014,"nationwide","female","10th_percentile",6205.32
"75",2013,"nationwide","female","10th_percentile",6457.78
"76",2012,"nationwide","female","10th_percentile",6750.12
"77",2011,"nationwide","female","10th_percentile",6996.22
"78",2010,"nationwide","female","10th_percentile",7001.27
"79",2009,"nationwide","female","10th_percentile",7027.1
"80",2008,"nationwide","female","10th_percentile",7088.36
"81",2017,"nationwide","female","lower_quartile",11567.75
"82",2016,"nationwide","female","lower_quartile",11129.97
"83",2015,"nationwide","female","lower_quartile",10993.54
"84",2014,"nationwide","female","lower_quartile",10900.7
"85",2013,"nationwide","female","lower_quartile",10801.94
"86",2012,"nationwide","female","lower_quartile",11153.94
"87",2011,"nationwide","female","lower_quartile",11376.86
"88",2010,"nationwide","female","lower_quartile",11462.43
"89",2009,"nationwide","female","lower_quartile",11324.09
"90",2008,"nationwide","female","lower_quartile",11038.28
"91",2017,"nationwide","female","median",17214.6
"92",2016,"nationwide","female","median",16831.58
"93",2015,"nationwide","female","median",16825.11
"94",2014,"nationwide","female","median",16771.32
"95",2013,"nationwide","female","median",16452.43
"96",2012,"nationwide","female","median",16524.51
"97",2011,"nationwide","female","median",16796.41
"98",2010,"nationwide","female","median",16536.1
"99",2009,"nationwide","female","median",16433.14
"100",2008,"nationwide","female","median",15886.02
"101",2017,"nationwide","female","upper_quartile",26174.19
"102",2016,"nationwide","female","upper_quartile",25711.14
"103",2015,"nationwide","female","upper_quartile",25562.92
"104",2014,"nationwide","female","upper_quartile",25134.57
"105",2013,"nationwide","female","upper_quartile",24568.84
"106",2012,"nationwide","female","upper_quartile",24505.75
"107",2011,"nationwide","female","upper_quartile",25038.56
"108",2010,"nationwide","female","upper_quartile",24751.72
"109",2009,"nationwide","female","upper_quartile",24556.88
"110",2008,"nationwide","female","upper_quartile",23446.18
"111",2017,"nationwide","female","90th_percentile",37896.51
"112",2016,"nationwide","female","90th_percentile",37167.95
"113",2015,"nationwide","female","90th_percentile",37098.89
"114",2014,"nationwide","female","90th_percentile",36627.29
"115",2013,"nationwide","female","90th_percentile",36068.77
"116",2012,"nationwide","female","90th_percentile",35506.25
"117",2011,"nationwide","female","90th_percentile",35871.36
"118",2010,"nationwide","female","90th_percentile",36249.13
"119",2009,"nationwide","female","90th_percentile",36009.1
"120",2008,"nationwide","female","90th_percentile",34397.13
"121",2017,"nationwide","male","mean",26391.84
"122",2016,"nationwide","male","mean",25924.43
"123",2015,"nationwide","male","mean",25992.76
"124",2014,"nationwide","male","mean",25727.24
"125",2013,"nationwide","male","mean",25675.17
"126",2012,"nationwide","male","mean",25682.05
"127",2011,"nationwide","male","mean",25667.89
"128",2010,"nationwide","male","mean",25479.74
"129",2009,"nationwide","male","mean",25001.05
"130",2008,"nationwide","male","mean",24203.33
"131",2017,"nationwide","male","10th_percentile",11393.3
"132",2016,"nationwide","male","10th_percentile",10760.06
"133",2015,"nationwide","male","10th_percentile",11101.74
"134",2014,"nationwide","male","10th_percentile",10242.05
"135",2013,"nationwide","male","10th_percentile",10020.04
"136",2012,"nationwide","male","10th_percentile",10552.8
"137",2011,"nationwide","male","10th_percentile",10973.96
"138",2010,"nationwide","male","10th_percentile",11391.44
"139",2009,"nationwide","male","10th_percentile",11552.95
"140",2008,"nationwide","male","10th_percentile",11594.27
"141",2017,"nationwide","male","lower_quartile",16326.55
"142",2016,"nationwide","male","lower_quartile",15832.23
"143",2015,"nationwide","male","lower_quartile",15962.29
"144",2014,"nationwide","male","lower_quartile",15688.2
"145",2013,"nationwide","male","lower_quartile",15555.04
"146",2012,"nationwide","male","lower_quartile",15705.88
"147",2011,"nationwide","male","lower_quartile",15718.4
"148",2010,"nationwide","male","lower_quartile",15770.16
"149",2009,"nationwide","male","lower_quartile",15545.16
"150",2008,"nationwide","male","lower_quartile",15160
"151",2017,"nationwide","male","median",21970.34
"152",2016,"nationwide","male","median",21626
"153",2015,"nationwide","male","median",21740.88
"154",2014,"nationwide","male","median",21528.5
"155",2013,"nationwide","male","median",21371.13
"156",2012,"nationwide","male","median",21425.14
"157",2011,"nationwide","male","median",21487.99
"158",2010,"nationwide","male","median",21206.99
"159",2009,"nationwide","male","median",20730.71
"160",2008,"nationwide","male","median",20057.56
"161",2017,"nationwide","male","upper_quartile",32512.91
"162",2016,"nationwide","male","upper_quartile",32178.45
"163",2015,"nationwide","male","upper_quartile",32194.83
"164",2014,"nationwide","male","upper_quartile",31837
"165",2013,"nationwide","male","upper_quartile",32114.8
"166",2012,"nationwide","male","upper_quartile",31866.94
"167",2011,"nationwide","male","upper_quartile",31874.98
"168",2010,"nationwide","male","upper_quartile",31164.24
"169",2009,"nationwide","male","upper_quartile",30678.89
"170",2008,"nationwide","male","upper_quartile",29385.82
"171",2017,"nationwide","male","90th_percentile",45813.46
"172",2016,"nationwide","male","90th_percentile",45543.69
"173",2015,"nationwide","male","90th_percentile",45148.06
"174",2014,"nationwide","male","90th_percentile",45259.58
"175",2013,"nationwide","male","90th_percentile",45516.2
"176",2012,"nationwide","male","90th_percentile",45494.89
"177",2011,"nationwide","male","90th_percentile",44848.03
"178",2010,"nationwide","male","90th_percentile",44725.21
"179",2009,"nationwide","male","90th_percentile",43406.27
"180",2008,"nationwide","male","90th_percentile",41792.77
"181",2017,"Andalucía","both","mean",21404.28
"182",2016,"Andalucía","both","mean",21268.41
"183",2015,"Andalucía","both","mean",21381.03
"184",2014,"Andalucía","both","mean",20840.3
"185",2013,"Andalucía","both","mean",20782.03
"186",2012,"Andalucía","both","mean",20891.63
"187",2011,"Andalucía","both","mean",21350.98
"188",2010,"Andalucía","both","mean",20964.36
"189",2009,"Andalucía","both","mean",20906.33
"190",2008,"Andalucía","both","mean",20138.56
"191",2017,"Andalucía","both","10th_percentile",7836.76
"192",2016,"Andalucía","both","10th_percentile",7427.89
"193",2015,"Andalucía","both","10th_percentile",7438.69
"194",2014,"Andalucía","both","10th_percentile",6741.52
"195",2013,"Andalucía","both","10th_percentile",7066.88
"196",2012,"Andalucía","both","10th_percentile",7393.08
"197",2011,"Andalucía","both","10th_percentile",7440.95
"198",2010,"Andalucía","both","10th_percentile",7418.63
"199",2009,"Andalucía","both","10th_percentile",7757.16
"200",2008,"Andalucía","both","10th_percentile",8153.42
"201",2017,"Andalucía","both","lower_quartile",12735
"202",2016,"Andalucía","both","lower_quartile",12212.29
"203",2015,"Andalucía","both","lower_quartile",12454.33
"204",2014,"Andalucía","both","lower_quartile",11937.48
"205",2013,"Andalucía","both","lower_quartile",12012.54
"206",2012,"Andalucía","both","lower_quartile",12321.3
"207",2011,"Andalucía","both","lower_quartile",12510.79
"208",2010,"Andalucía","both","lower_quartile",12556.13
"209",2009,"Andalucía","both","lower_quartile",12816.46
"210",2008,"Andalucía","both","lower_quartile",12906
"211",2017,"Andalucía","both","median",18251.94
"212",2016,"Andalucía","both","median",18051.91
"213",2015,"Andalucía","both","median",18101.7
"214",2014,"Andalucía","both","median",18034.03
"215",2013,"Andalucía","both","median",17722.42
"216",2012,"Andalucía","both","median",17910.11
"217",2011,"Andalucía","both","median",18193.56
"218",2010,"Andalucía","both","median",17565.81
"219",2009,"Andalucía","both","median",17866.08
"220",2008,"Andalucía","both","median",17371.95
"221",2017,"Andalucía","both","upper_quartile",26668.08
"222",2016,"Andalucía","both","upper_quartile",26862.33
"223",2015,"Andalucía","both","upper_quartile",27048.58
"224",2014,"Andalucía","both","upper_quartile",26129.25
"225",2013,"Andalucía","both","upper_quartile",26357.12
"226",2012,"Andalucía","both","upper_quartile",25948.92
"227",2011,"Andalucía","both","upper_quartile",26681.9
"228",2010,"Andalucía","both","upper_quartile",25569.75
"229",2009,"Andalucía","both","upper_quartile",26036.43
"230",2008,"Andalucía","both","upper_quartile",24537.31
"231",2017,"Andalucía","both","90th_percentile",38260.58
"232",2016,"Andalucía","both","90th_percentile",38731.32
"233",2015,"Andalucía","both","90th_percentile",39121.07
"234",2014,"Andalucía","both","90th_percentile",37835.52
"235",2013,"Andalucía","both","90th_percentile",38061.86
"236",2012,"Andalucía","both","90th_percentile",37291.48
"237",2011,"Andalucía","both","90th_percentile",38761.2
"238",2010,"Andalucía","both","90th_percentile",38447
"239",2009,"Andalucía","both","90th_percentile",37655.42
"240",2008,"Andalucía","both","90th_percentile",35105.72
"241",2017,"Andalucía","female","mean",18287.29
"242",2016,"Andalucía","female","mean",18177.37
"243",2015,"Andalucía","female","mean",18340.96
"244",2014,"Andalucía","female","mean",17576.13
"245",2013,"Andalucía","female","mean",17690.19
"246",2012,"Andalucía","female","mean",17828.44
"247",2011,"Andalucía","female","mean",18389.21
"248",2010,"Andalucía","female","mean",17921.33
"249",2009,"Andalucía","female","mean",18371.23
"250",2008,"Andalucía","female","mean",17298.33
"251",2017,"Andalucía","female","10th_percentile",6598.44
"252",2016,"Andalucía","female","10th_percentile",6077.43
"253",2015,"Andalucía","female","10th_percentile",6117.82
"254",2014,"Andalucía","female","10th_percentile",5014.88
"255",2013,"Andalucía","female","10th_percentile",5975.64
"256",2012,"Andalucía","female","10th_percentile",6335.14
"257",2011,"Andalucía","female","10th_percentile",6168.16
"258",2010,"Andalucía","female","10th_percentile",6184.5
"259",2009,"Andalucía","female","10th_percentile",6261.59
"260",2008,"Andalucía","female","10th_percentile",6275.09
"261",2017,"Andalucía","female","lower_quartile",9907.8
"262",2016,"Andalucía","female","lower_quartile",9826.35
"263",2015,"Andalucía","female","lower_quartile",9714.12
"264",2014,"Andalucía","female","lower_quartile",9096.52
"265",2013,"Andalucía","female","lower_quartile",9184.41
"266",2012,"Andalucía","female","lower_quartile",9926.27
"267",2011,"Andalucía","female","lower_quartile",9858.12
"268",2010,"Andalucía","female","lower_quartile",9967.4
"269",2009,"Andalucía","female","lower_quartile",10054.28
"270",2008,"Andalucía","female","lower_quartile",9859.25
"271",2017,"Andalucía","female","median",15368.02
"272",2016,"Andalucía","female","median",15203.96
"273",2015,"Andalucía","female","median",15295.34
"274",2014,"Andalucía","female","median",15044.26
"275",2013,"Andalucía","female","median",15029.15
"276",2012,"Andalucía","female","median",15480.07
"277",2011,"Andalucía","female","median",15578.41
"278",2010,"Andalucía","female","median",14845.01
"279",2009,"Andalucía","female","median",15963.82
"280",2008,"Andalucía","female","median",15137.4
"281",2017,"Andalucía","female","upper_quartile",23772.43
"282",2016,"Andalucía","female","upper_quartile",23822.52
"283",2015,"Andalucía","female","upper_quartile",23679.6
"284",2014,"Andalucía","female","upper_quartile",23211.41
"285",2013,"Andalucía","female","upper_quartile",23188.65
"286",2012,"Andalucía","female","upper_quartile",22931.4
"287",2011,"Andalucía","female","upper_quartile",23973.22
"288",2010,"Andalucía","female","upper_quartile",22617.39
"289",2009,"Andalucía","female","upper_quartile",23749.28
"290",2008,"Andalucía","female","upper_quartile",22198.09
"291",2017,"Andalucía","female","90th_percentile",33912.39
"292",2016,"Andalucía","female","90th_percentile",34205.84
"293",2015,"Andalucía","female","90th_percentile",34389.77
"294",2014,"Andalucía","female","90th_percentile",33157.75
"295",2013,"Andalucía","female","90th_percentile",32818.67
"296",2012,"Andalucía","female","90th_percentile",32126.78
"297",2011,"Andalucía","female","90th_percentile",34038.22
"298",2010,"Andalucía","female","90th_percentile",33623.63
"299",2009,"Andalucía","female","90th_percentile",33967.87
"300",2008,"Andalucía","female","90th_percentile",31190.72
"301",2017,"Andalucía","male","mean",24175.52
"302",2016,"Andalucía","male","mean",24026.82
"303",2015,"Andalucía","male","mean",24200.2
"304",2014,"Andalucía","male","mean",23541.32
"305",2013,"Andalucía","male","mean",23565.36
"306",2012,"Andalucía","male","mean",23592.08
"307",2011,"Andalucía","male","mean",23815.22
"308",2010,"Andalucía","male","mean",23463.96
"309",2009,"Andalucía","male","mean",22908.86
"310",2008,"Andalucía","male","mean",22108.57
"311",2017,"Andalucía","male","10th_percentile",10159.35
"312",2016,"Andalucía","male","10th_percentile",9284.7
"313",2015,"Andalucía","male","10th_percentile",10031.36
"314",2014,"Andalucía","male","10th_percentile",9586.66
"315",2013,"Andalucía","male","10th_percentile",9072.66
"316",2012,"Andalucía","male","10th_percentile",9700.1
"317",2011,"Andalucía","male","10th_percentile",10277.09
"318",2010,"Andalucía","male","10th_percentile",10422.08
"319",2009,"Andalucía","male","10th_percentile",10694.53
"320",2008,"Andalucía","male","10th_percentile",11451.4
"321",2017,"Andalucía","male","lower_quartile",15680.56
"322",2016,"Andalucía","male","lower_quartile",15009.04
"323",2015,"Andalucía","male","lower_quartile",15183.2
"324",2014,"Andalucía","male","lower_quartile",15002.84
"325",2013,"Andalucía","male","lower_quartile",14737.2
"326",2012,"Andalucía","male","lower_quartile",14833.65
"327",2011,"Andalucía","male","lower_quartile",14839.16
"328",2010,"Andalucía","male","lower_quartile",15000.28
"329",2009,"Andalucía","male","lower_quartile",14880.34
"330",2008,"Andalucía","male","lower_quartile",14757.95
"331",2017,"Andalucía","male","median",20410.32
"332",2016,"Andalucía","male","median",20168.27
"333",2015,"Andalucía","male","median",20109.36
"334",2014,"Andalucía","male","median",19774.52
"335",2013,"Andalucía","male","median",19750.02
"336",2012,"Andalucía","male","median",19733.29
"337",2011,"Andalucía","male","median",19772.01
"338",2010,"Andalucía","male","median",19328.83
"339",2009,"Andalucía","male","median",19125.41
"340",2008,"Andalucía","male","median",18513.57
"341",2017,"Andalucía","male","upper_quartile",29443.23
"342",2016,"Andalucía","male","upper_quartile",29660.56
"343",2015,"Andalucía","male","upper_quartile",30000.12
"344",2014,"Andalucía","male","upper_quartile",28752.86
"345",2013,"Andalucía","male","upper_quartile",29387.21
"346",2012,"Andalucía","male","upper_quartile",28777.49
"347",2011,"Andalucía","male","upper_quartile",29326.05
"348",2010,"Andalucía","male","upper_quartile",28035.21
"349",2009,"Andalucía","male","upper_quartile",28186.49
"350",2008,"Andalucía","male","upper_quartile",26005.41
"351",2017,"Andalucía","male","90th_percentile",41715.76
"352",2016,"Andalucía","male","90th_percentile",42694.13
"353",2015,"Andalucía","male","90th_percentile",43035.61
"354",2014,"Andalucía","male","90th_percentile",41329.03
"355",2013,"Andalucía","male","90th_percentile",42283.86
"356",2012,"Andalucía","male","90th_percentile",41464.59
"357",2011,"Andalucía","male","90th_percentile",42039.1
"358",2010,"Andalucía","male","90th_percentile",41776.86
"359",2009,"Andalucía","male","90th_percentile",39934.18
"360",2008,"Andalucía","male","90th_percentile",37702.09
"361",2017,"Aragón","both","mean",23039.94
"362",2016,"Aragón","both","mean",22248.76
"363",2015,"Aragón","both","mean",22327.18
"364",2014,"Aragón","both","mean",22095.79
"365",2013,"Aragón","both","mean",22054.85
"366",2012,"Aragón","both","mean",22103.79
"367",2011,"Aragón","both","mean",22333.53
"368",2010,"Aragón","both","mean",22316.69
"369",2009,"Aragón","both","mean",22133.77
"370",2008,"Aragón","both","mean",21594.47
"371",2017,"Aragón","both","10th_percentile",9082.3
"372",2016,"Aragón","both","10th_percentile",7896.6
"373",2015,"Aragón","both","10th_percentile",7875.69
"374",2014,"Aragón","both","10th_percentile",7799.43
"375",2013,"Aragón","both","10th_percentile",7735.35
"376",2012,"Aragón","both","10th_percentile",8216.38
"377",2011,"Aragón","both","10th_percentile",8863.66
"378",2010,"Aragón","both","10th_percentile",8683.56
"379",2009,"Aragón","both","10th_percentile",8641.36
"380",2008,"Aragón","both","10th_percentile",9051.37
"381",2017,"Aragón","both","lower_quartile",14438.76
"382",2016,"Aragón","both","lower_quartile",13664.48
"383",2015,"Aragón","both","lower_quartile",13424.35
"384",2014,"Aragón","both","lower_quartile",13853.64
"385",2013,"Aragón","both","lower_quartile",13415.54
"386",2012,"Aragón","both","lower_quartile",13688.48
"387",2011,"Aragón","both","lower_quartile",14044.52
"388",2010,"Aragón","both","lower_quartile",14176.97
"389",2009,"Aragón","both","lower_quartile",14051.02
"390",2008,"Aragón","both","lower_quartile",13875.48
"391",2017,"Aragón","both","median",20198.39
"392",2016,"Aragón","both","median",19417.81
"393",2015,"Aragón","both","median",19589.29
"394",2014,"Aragón","both","median",19539.86
"395",2013,"Aragón","both","median",19094.86
"396",2012,"Aragón","both","median",19094.81
"397",2011,"Aragón","both","median",19646.75
"398",2010,"Aragón","both","median",19552.41
"399",2009,"Aragón","both","median",19413.22
"400",2008,"Aragón","both","median",19084.91
"401",2017,"Aragón","both","upper_quartile",28708.75
"402",2016,"Aragón","both","upper_quartile",27990.4
"403",2015,"Aragón","both","upper_quartile",28144.48
"404",2014,"Aragón","both","upper_quartile",27934.08
"405",2013,"Aragón","both","upper_quartile",27796.12
"406",2012,"Aragón","both","upper_quartile",27034.53
"407",2011,"Aragón","both","upper_quartile",27779.87
"408",2010,"Aragón","both","upper_quartile",27478.9
"409",2009,"Aragón","both","upper_quartile",27052.27
"410",2008,"Aragón","both","upper_quartile",26580.39
"411",2017,"Aragón","both","90th_percentile",39100.8
"412",2016,"Aragón","both","90th_percentile",38305.12
"413",2015,"Aragón","both","90th_percentile",39085.72
"414",2014,"Aragón","both","90th_percentile",37273.45
"415",2013,"Aragón","both","90th_percentile",38702.21
"416",2012,"Aragón","both","90th_percentile",38756.84
"417",2011,"Aragón","both","90th_percentile",38723.33
"418",2010,"Aragón","both","90th_percentile",39028.27
"419",2009,"Aragón","both","90th_percentile",38392.52
"420",2008,"Aragón","both","90th_percentile",36579.8
"421",2017,"Aragón","female","mean",19677.22
"422",2016,"Aragón","female","mean",18766.21
"423",2015,"Aragón","female","mean",18950.17
"424",2014,"Aragón","female","mean",18764.63
"425",2013,"Aragón","female","mean",18701.61
"426",2012,"Aragón","female","mean",18042.28
"427",2011,"Aragón","female","mean",18831.38
"428",2010,"Aragón","female","mean",18843.25
"429",2009,"Aragón","female","mean",18861.82
"430",2008,"Aragón","female","mean",17843.46
"431",2017,"Aragón","female","10th_percentile",7213.48
"432",2016,"Aragón","female","10th_percentile",6228.7
"433",2015,"Aragón","female","10th_percentile",6173.3
"434",2014,"Aragón","female","10th_percentile",6514.38
"435",2013,"Aragón","female","10th_percentile",6535.3
"436",2012,"Aragón","female","10th_percentile",6610.91
"437",2011,"Aragón","female","10th_percentile",7418.93
"438",2010,"Aragón","female","10th_percentile",7200
"439",2009,"Aragón","female","10th_percentile",7114.8
"440",2008,"Aragón","female","10th_percentile",7210.5
"441",2017,"Aragón","female","lower_quartile",11626.11
"442",2016,"Aragón","female","lower_quartile",10237.79
"443",2015,"Aragón","female","lower_quartile",10444.87
"444",2014,"Aragón","female","lower_quartile",11000.39
"445",2013,"Aragón","female","lower_quartile",10941.54
"446",2012,"Aragón","female","lower_quartile",10549.6
"447",2011,"Aragón","female","lower_quartile",11502.38
"448",2010,"Aragón","female","lower_quartile",11586.66
"449",2009,"Aragón","female","lower_quartile",11323.32
"450",2008,"Aragón","female","lower_quartile",11113.81
"451",2017,"Aragón","female","median",16812.83
"452",2016,"Aragón","female","median",16411.68
"453",2015,"Aragón","female","median",16324.07
"454",2014,"Aragón","female","median",16691.51
"455",2013,"Aragón","female","median",16160.06
"456",2012,"Aragón","female","median",15734.04
"457",2011,"Aragón","female","median",16206.05
"458",2010,"Aragón","female","median",16412.07
"459",2009,"Aragón","female","median",15878.02
"460",2008,"Aragón","female","median",15608.17
"461",2017,"Aragón","female","upper_quartile",24684.39
"462",2016,"Aragón","female","upper_quartile",24084.48
"463",2015,"Aragón","female","upper_quartile",24153.85
"464",2014,"Aragón","female","upper_quartile",23716.65
"465",2013,"Aragón","female","upper_quartile",23165.29
"466",2012,"Aragón","female","upper_quartile",22199.5
"467",2011,"Aragón","female","upper_quartile",23769.33
"468",2010,"Aragón","female","upper_quartile",23033.22
"469",2009,"Aragón","female","upper_quartile",22993.08
"470",2008,"Aragón","female","upper_quartile",21890.54
"471",2017,"Aragón","female","90th_percentile",34703.34
"472",2016,"Aragón","female","90th_percentile",34140.98
"473",2015,"Aragón","female","90th_percentile",34653.38
"474",2014,"Aragón","female","90th_percentile",33023.2
"475",2013,"Aragón","female","90th_percentile",33057.69
"476",2012,"Aragón","female","90th_percentile",32332.65
"477",2011,"Aragón","female","90th_percentile",33769.21
"478",2010,"Aragón","female","90th_percentile",33031.69
"479",2009,"Aragón","female","90th_percentile",34221.74
"480",2008,"Aragón","female","90th_percentile",32080.91
"481",2017,"Aragón","male","mean",25878.46
"482",2016,"Aragón","male","mean",25326.91
"483",2015,"Aragón","male","mean",25555.56
"484",2014,"Aragón","male","mean",25118.61
"485",2013,"Aragón","male","mean",25128.91
"486",2012,"Aragón","male","mean",25766.27
"487",2011,"Aragón","male","mean",25258.68
"488",2010,"Aragón","male","mean",25263.29
"489",2009,"Aragón","male","mean",24787.81
"490",2008,"Aragón","male","mean",24272.36
"491",2017,"Aragón","male","10th_percentile",12523.16
"492",2016,"Aragón","male","10th_percentile",11973.96
"493",2015,"Aragón","male","10th_percentile",11948.41
"494",2014,"Aragón","male","10th_percentile",10600.79
"495",2013,"Aragón","male","10th_percentile",10164.88
"496",2012,"Aragón","male","10th_percentile",12249
"497",2011,"Aragón","male","10th_percentile",11974.6
"498",2010,"Aragón","male","10th_percentile",11972.3
"499",2009,"Aragón","male","10th_percentile",12760.34
"500",2008,"Aragón","male","10th_percentile",12420.56
"501",2017,"Aragón","male","lower_quartile",17363.47
"502",2016,"Aragón","male","lower_quartile",16733.12
"503",2015,"Aragón","male","lower_quartile",16666.19
"504",2014,"Aragón","male","lower_quartile",16721.02
"505",2013,"Aragón","male","lower_quartile",15883.32
"506",2012,"Aragón","male","lower_quartile",16765.53
"507",2011,"Aragón","male","lower_quartile",16616.19
"508",2010,"Aragón","male","lower_quartile",16806.8
"509",2009,"Aragón","male","lower_quartile",16667.1
"510",2008,"Aragón","male","lower_quartile",16449.72
"511",2017,"Aragón","male","median",22790.36
"512",2016,"Aragón","male","median",22380.02
"513",2015,"Aragón","male","median",22452.41
"514",2014,"Aragón","male","median",22364.62
"515",2013,"Aragón","male","median",22275.4
"516",2012,"Aragón","male","median",22231.84
"517",2011,"Aragón","male","median",22542.61
"518",2010,"Aragón","male","median",22129.41
"519",2009,"Aragón","male","median",21989.38
"520",2008,"Aragón","male","median",21551.6
"521",2017,"Aragón","male","upper_quartile",31121.85
"522",2016,"Aragón","male","upper_quartile",30722.39
"523",2015,"Aragón","male","upper_quartile",30821.58
"524",2014,"Aragón","male","upper_quartile",30385.38
"525",2013,"Aragón","male","upper_quartile",31144.04
"526",2012,"Aragón","male","upper_quartile",30744.34
"527",2011,"Aragón","male","upper_quartile",30535.09
"528",2010,"Aragón","male","upper_quartile",30260.95
"529",2009,"Aragón","male","upper_quartile",30147.1
"530",2008,"Aragón","male","upper_quartile",29441.16
"531",2017,"Aragón","male","90th_percentile",42272.44
"532",2016,"Aragón","male","90th_percentile",42235.64
"533",2015,"Aragón","male","90th_percentile",42874.15
"534",2014,"Aragón","male","90th_percentile",41393.47
"535",2013,"Aragón","male","90th_percentile",43037.17
"536",2012,"Aragón","male","90th_percentile",43906.88
"537",2011,"Aragón","male","90th_percentile",41521.89
"538",2010,"Aragón","male","90th_percentile",42564.3
"539",2009,"Aragón","male","90th_percentile",41492.38
"540",2008,"Aragón","male","90th_percentile",39380.62
"541",2017,"Asturias, Principado de","both","mean",23609.67
"542",2016,"Asturias, Principado de","both","mean",23095.83
"543",2015,"Asturias, Principado de","both","mean",22826.06
"544",2014,"Asturias, Principado de","both","mean",22045.29
"545",2013,"Asturias, Principado de","both","mean",21994.99
"546",2012,"Asturias, Principado de","both","mean",21750.66
"547",2011,"Asturias, Principado de","both","mean",22286.48
"548",2010,"Asturias, Principado de","both","mean",22241.39
"549",2009,"Asturias, Principado de","both","mean",22597.97
"550",2008,"Asturias, Principado de","both","mean",21805.67
"551",2017,"Asturias, Principado de","both","10th_percentile",8504.22
"552",2016,"Asturias, Principado de","both","10th_percentile",7591.08
"553",2015,"Asturias, Principado de","both","10th_percentile",7591.08
"554",2014,"Asturias, Principado de","both","10th_percentile",7226.86
"555",2013,"Asturias, Principado de","both","10th_percentile",7226.9
"556",2012,"Asturias, Principado de","both","10th_percentile",7538.76
"557",2011,"Asturias, Principado de","both","10th_percentile",8429.6
"558",2010,"Asturias, Principado de","both","10th_percentile",8783.94
"559",2009,"Asturias, Principado de","both","10th_percentile",8547.94
